Bachelor / Master;Campus;Dual;Fachbereich;Semester;Semester YoY T/F;Stand;Stand Semester Auswahl;Stand Semester Auswahl YoY (Kopie);Studiengang;Studiengang (Gruppe);Studienort;Winter / Sommer;Ausländische Studierende;Gesamtstudierende;Gesamtstudierende Semester Auswahl;Gesamtstudierende Semester Auswahl YoY;Studienanfängerinnen und Studienanfänger (1. FS);Studienanfängerinnen und Studienanfänger (1. HS);Studierende in der Regelstudienzeit;Weibliche Studierende
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Sommersemester;11;71;;;11;6;64;5
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Sommersemester;1;34;;;0;0;19;15
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Wintersemester;12;74;;;13;11;63;5
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Wintersemester;1;26;;;6;0;16;4
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Sommersemester;13;70;;;6;5;53;6
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Sommersemester;1;26;;;4;0;13;4
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Sommersemester;9;52;;;0;0;29;4
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Sommersemester;0;30;;;3;0;13;9
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Wintersemester;9;44;;;0;0;20;4
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Wintersemester;1;23;;;3;0;10;4
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Sommersemester;6;33;;;0;0;12;1
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Sommersemester;2;25;;;7;0;11;3
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Wintersemester;3;28;;28;0;0;6;1
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Wintersemester;2;28;;28;6;0;13;5
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Sommersemester;2;21;;;0;0;3;0
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Sommersemester;3;24;;;3;0;14;4
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Wintersemester;13;58;;;0;0;45;5
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Wintersemester;1;32;;;9;0;16;6
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Wintersemester;0;16;16;;0;0;2;0
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Angewandte Informatik;Angewandte Informatik;Birkenfeld;Wintersemester;2;24;24;;5;0;12;4
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Angewandte Informatik und Künstliche Intelligenz;Angewandte Informatik und Künstliche Intelligenz;Birkenfeld;Sommersemester;4;24;;;9;3;24;2
